numero_clientes,maximo_por_tipo,maximo_por_cliente,gen_max,lugar_gen_max,gen_min,lugar_gen_min,gen_prom
10,1,5,1790595.1826769146,366,1574257.713847681,265,1702690.0841116153
10,2,5,1325321.1697720562,834,1116194.4800576903,14,1199228.2753215411
10,2,10,3627714.6434840523,892,3373338.0687691835,586,3460463.0935135107
10,3,5,1506685.2077380922,285,1181822.106943414,585,1324501.192760938
10,3,10,1614419.4822322626,700,1440215.1637475316,832,1514929.722097337
10,3,15,2981463.432651204,156,2691280.845724697,898,2799262.579819244
10,4,5,1963757.7125518546,401,1740315.576346955,390,1834953.9876207276
10,4,10,2391316.995620415,108,2302709.2922696187,203,2331271.1073209294
10,4,15,2926156.0492583527,820,2894353.8916196143,682,2899268.1507598585
10,4,20,1726367.0507416748,685,1618486.2508367558,886,1633998.3498940195
10,5,5,1384035.9892341052,290,1211477.3872188195,655,1259900.097244585
10,5,10,2475493.578260029,74,2363873.5663822806,98,2402083.655687794
10,5,15,3820416.11633304,853,3780466.2649632706,59,3787245.351116678
10,5,20,4782598.928159343,789,4558505.131127824,3,4642574.841344581
10,5,25,3749599.345654013,900,3734869.3583559343,101,3737030.5945952707
20,1,5,3398550.6856208807,507,2656395.4820607314,5,3122699.2545670047
20,2,5,3432231.788191494,923,2931211.0754825505,636,3215272.7237111675
20,2,10,8394135.921319257,366,7498588.322380386,843,7981281.594420129
20,3,5,3977117.284034541,718,3235100.725184664,804,3719393.973810008
20,3,10,4147520.364938724,837,3677371.859973778,910,3922982.3150581485
20,3,15,5614617.337508326,279,5011256.607972745,332,5375251.829676282
20,4,5,4069704.742619064,799,3457434.3423460675,537,3836572.5898512737
20,4,10,4923058.8735622205,928,4578318.837561331,793,4773304.246507048
20,4,15,5802281.729106112,998,5319079.918131302,672,5615458.459417309
20,4,20,4368904.331459775,899,4112059.06471846,632,4237892.84489506
20,5,5,3193771.406734704,215,2602408.0185894924,0,2987488.4645714452
20,5,10,4927929.050055768,90,4620946.145096483,367,4772459.004614696
20,5,15,6999656.341640104,251,6691933.585179476,567,6893371.1414395
20,5,20,9747721.225614453,47,9124109.218600404,911,9493251.321650397
20,5,25,7519047.394179817,456,7185627.470743456,80,7257633.645518621
30,1,5,4913217.324454108,197,3527375.6920696516,0,4566203.515835312
30,2,5,5111150.507977218,259,4102102.0349803255,4,4814569.496183304
30,2,10,12996159.992639318,365,11955811.014629442,856,12562104.557557976
30,3,5,5729882.331997945,514,4373661.66911952,0,5371212.425313765
30,3,10,6645333.093048044,694,6046255.39206375,546,6385802.782825781
30,3,15,7506015.828954034,461,6642422.533195559,2,7240660.827557236
30,4,5,6034727.0478683,568,4628907.221786779,4,5741033.840767421
30,4,10,7511143.825398161,589,7050284.2884105835,0,7297975.12241249
30,4,15,8338078.178011465,810,7683509.333102978,790,8079272.01564865
30,4,20,6430415.617517421,196,6036888.9165335195,525,6269067.612354355
30,5,5,4904660.785335433,172,3644792.166147418,4,4591993.9288290525
30,5,10,7903479.954606652,141,7508566.902849021,436,7689255.952416557
30,5,15,10399159.642884804,745,9704706.107673958,913,10154952.997225093
30,5,20,14708008.775596801,804,13888360.165795695,847,14403043.90150909
30,5,25,13011290.214510806,449,12495123.905896258,810,12800084.890134284
40,1,5,6984222.1520062825,537,4973926.446470186,0,6567239.1484094
40,2,5,6469173.084267564,716,4573673.596581936,0,6138550.066429368
40,2,10,17526679.81330146,878,15668743.103880571,1,16942837.45674346
40,3,5,7510669.215689463,484,5866541.320739873,6,7196441.3782422105
40,3,10,9333920.759194763,22,8506722.84091867,265,9035622.47037616
40,3,15,10038362.204118056,529,8787775.62624357,0,9714128.742161792
40,4,5,8110609.274999502,996,5562657.838322645,2,7638470.90473621
40,4,10,9531246.262128895,544,8829820.340249542,269,9304046.475776773
40,4,15,11701665.593452519,537,10938169.63668781,672,11376914.006918075
40,4,20,8765098.260455646,437,8257956.809923883,389,8565638.217401214
40,5,5,6493843.387197142,275,4960448.328202003,0,6149441.014127845
40,5,10,10311934.966604404,801,9747693.884055067,314,10097488.485534199
40,5,15,13835340.894683387,322,13068415.194238318,893,13574597.715482144
40,5,20,18938011.054696355,686,18158438.311928138,519,18630480.123919543
40,5,25,17129534.865165807,404,16563417.022307748,63,16899817.091905877
50,1,5,9066512.145910122,476,6144569.680618948,2,8520991.816459594
50,2,5,8653931.28089389,285,5834130.238086208,0,8197036.434513011
50,2,10,21555157.670487013,244,19927001.792290695,10,20947410.34036196
50,3,5,9995201.122486804,373,7649460.986326514,8,9525948.933563301
50,3,10,12243888.74087937,855,11252326.828478018,6,11907827.522746028
50,3,15,11917623.975279827,852,10347353.42152352,2,11523500.802569127
50,4,5,10087921.059492262,828,6920285.2300867075,0,9565661.965266753
50,4,10,11722565.156655302,152,10899649.464887487,888,11421701.761132145
50,4,15,14238744.589445194,301,13412103.745021611,478,13948575.95524648
50,4,20,11563224.455546357,320,10980915.040887503,858,11337823.552163765
50,5,5,8333658.372082702,702,6233869.0850352375,5,7943521.561159268
50,5,10,13732886.205863006,301,12907263.448095085,2,13525150.842302067
50,5,15,17186591.28147602,540,16524784.633817278,63,16920850.8895207
50,5,20,24735899.29102709,807,23685981.821228743,192,24362351.113379862
50,5,25,21276488.51508648,584,20697538.671285983,655,21025788.16754865
