n_clientes,maximo_por_tipo,maximo_por_cliente,tiempo_HVRP-FVL_prueba_1,tiempo_HVRP-FVL_prueba_2
10,1,5,504.2600967884064,1096.5899784564972
10,2,5,512.6113948822021,1069.9863197803497
10,2,10,534.3839018344879,1087.6013600826263
10,3,5,503.1119532585144,1053.6526005268097
10,3,10,557.3345596790314,1178.111214876175
10,3,15,570.3106961250305,1219.4182221889496
10,4,5,537.0224182605743,1083.9788227081299
10,4,10,638.3015432357788,1169.4465599060059
10,4,15,593.5105164051056,1361.834662437439
10,4,20,636.2380197048187,1346.457757949829
10,5,5,526.4631168842316,1096.1876320838928
10,5,10,572.9316074848175,1206.485155582428
10,5,15,661.9988312721252,1368.903243303299
10,5,20,802.8018550872803,1683.7095456123352
10,5,25,651.1301209926605,1495.2907073497772
20,1,5,996.0138075351715,2146.28679394722
20,2,5,1078.693503856659,2267.0608987808228
20,2,10,1218.783010482788,2490.1126339435577
20,3,5,1055.127891778946,2198.3832705020905
20,3,10,1292.7086803913116,2779.090018749237
20,3,15,1368.0408818721771,2737.457226037979
20,4,5,1078.4576473236084,2307.307332277298
20,4,10,1367.8470957279205,2871.7256140708923
20,4,15,1422.3851401805878,3008.2490234375
20,4,20,1449.2043187618256,3680.0065367221832
20,5,5,1093.634442806244,2433.903000831604
20,5,10,1348.1089339256287,3351.560048341751
20,5,15,1923.0470519065857,3979.2275347709656
20,5,20,1496.9700088500977,3752.402943134308
20,5,25,1491.5388281345367,3603.104012966156
30,1,5,1830.6794691085815,3857.270177602768
30,2,5,2018.6513600349426,4085.8085553646088
30,2,10,2228.597455263138,4569.290897607803
30,3,5,2019.3109149932861,4158.004459857941
30,3,10,2674.950973510742,5040.6632289886475
30,3,15,3053.5375113487244,5136.339749336243
30,4,5,2139.2525894641876,4295.053068637848
30,4,10,3001.4027066230774,5767.179578065872
30,4,15,3513.634160757065,5771.431267738342
30,4,20,3629.8949382305145,7232.841738939285
30,5,5,1998.7064034938812,4143.7504596710205
30,5,10,2765.3120262622833,5956.53341293335
30,5,15,3084.730931043625,6743.6043264865875
30,5,20,4265.298400640488,6873.2582359313965
30,5,25,3892.4931201934814,8615.159963846207
40,1,5,3278.143417596817,6056.139052867889
40,2,5,3505.786017894745,7122.679242610931
40,2,10,3690.5437576770782,7655.723415851593
40,3,5,3252.1023581027985,6924.913422584534
40,3,10,3773.7328386306763,8167.037521839142
40,3,15,4040.20285654068,8365.50329208374
40,4,5,3167.1587109565735,6678.44473361969
40,4,10,4072.008071899414,9032.095602750778
40,4,15,4642.151443719864,9831.72711610794
40,4,20,4798.892917394638,11173.712310791016
40,5,5,3152.671270132065,6551.68484044075
40,5,10,4478.64187169075,9859.164251327515
40,5,15,4631.589484214783,12852.141200065613
40,5,20,4911.068112611771,10828.092236995697
40,5,25,6647.369318723679,12241.736672878265
50,1,5,4289.665489196777,8863.292754411697
50,2,5,4652.014741420746,9827.152654886246
50,2,10,5182.37997841835,11283.763869524002
50,3,5,4710.481986284256,10245.527406215668
50,3,10,5899.426591873169,12469.512362957
50,3,15,6090.601831912994,12291.03459596634
50,4,5,4636.020566225052,10047.62367606163
50,4,10,6388.394864082336,13668.489692926407
50,4,15,8195.89777302742,16311.260665416718
50,4,20,7415.063355922699,16944.79478597641
50,5,5,4733.422256231308,9892.037915945053
50,5,10,6612.791518449783,14424.009095907211
50,5,15,9381.482414960861,22051.08302140236
50,5,20,7162.221346616745,18947.70408320427
50,5,25,9893.294856786728,21077.625794172287
