Generacion tiempo_crossover tiempo_mutation tiempo_lso N1 N2 Fitness
G0 - - - [0, 9, 39, 40, 5, 13, 31, 0, 36, 2, 29, 30, 22, 0, 11, 15, 21, 27, 7, 0, 18, 25, 19, 35, 37, 0, 10, 12, 0, 3, 14, 20, 28, 24, 26, 0, 17, 8, 23, 6, 0, 16, 4, 33, 1, 0, 32, 38, 34, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 4997515.828097101
G1 1.4870665073394775 1.511875867843628 2.8992159366607666 [0, 34, 9, 39, 40, 5, 13, 0, 31, 36, 2, 30, 0, 29, 22, 11, 15, 21, 27, 0, 7, 18, 25, 19, 0, 35, 37, 10, 0, 12, 3, 14, 20, 28, 24, 0, 26, 17, 8, 0, 23, 6, 16, 32, 1, 0, 33, 4, 38, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 4974260.091973923
G2 1.5109291076660156 1.5219299793243408 2.8872792720794678 [0, 34, 9, 39, 40, 5, 13, 0, 31, 36, 2, 30, 0, 29, 22, 11, 15, 21, 27, 0, 7, 18, 25, 19, 0, 35, 37, 10, 0, 12, 3, 14, 20, 28, 24, 0, 26, 17, 8, 0, 23, 6, 16, 32, 1, 0, 33, 4, 38, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 4974260.091973923
G3 1.5218932628631592 1.518939733505249 2.9002442359924316 [0, 7, 27, 18, 25, 19, 35, 0, 37, 10, 12, 3, 0, 14, 20, 28, 24, 26, 0, 29, 2, 36, 31, 0, 13, 5, 40, 0, 39, 34, 9, 38, 32, 1, 0, 33, 4, 0, 16, 6, 23, 8, 17, 30, 22, 0, 11, 15, 21, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 5049517.3221593555
G4 1.518937349319458 1.5107910633087158 2.900243043899536 [0, 30, 22, 11, 15, 21, 27, 7, 0, 18, 25, 19, 35, 37, 0, 10, 12, 3, 14, 0, 20, 28, 26, 24, 17, 0, 8, 23, 6, 16, 0, 4, 33, 1, 32, 38, 0, 34, 9, 40, 39, 0, 5, 13, 31, 2, 36, 0, 29, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 5235362.185398247
G5 1.5084755420684814 1.506969928741455 2.8503777980804443 [0, 30, 22, 11, 15, 21, 27, 7, 0, 18, 25, 19, 35, 37, 0, 10, 12, 3, 14, 0, 20, 28, 26, 24, 17, 0, 8, 23, 6, 16, 0, 4, 33, 1, 32, 38, 0, 34, 9, 40, 39, 0, 5, 13, 31, 2, 36, 0, 29, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 5235362.185398247
G6 1.4900407791137695 1.5099689960479736 2.880265951156616 [0, 30, 22, 11, 15, 21, 27, 7, 0, 18, 25, 19, 35, 37, 0, 10, 12, 3, 14, 0, 20, 28, 26, 24, 17, 0, 8, 23, 6, 16, 0, 4, 33, 1, 32, 38, 0, 34, 9, 40, 39, 0, 5, 13, 31, 2, 36, 0, 29, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 5235362.185398247
G7 1.494035243988037 1.513951301574707 2.8653063774108887 [0, 30, 22, 11, 15, 21, 27, 7, 0, 18, 25, 19, 35, 37, 0, 10, 12, 3, 14, 0, 20, 28, 26, 24, 17, 0, 8, 23, 6, 16, 0, 4, 33, 1, 32, 38, 0, 34, 9, 40, 5, 0, 39, 13, 31, 2, 36, 0, 29, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 5232684.387017654
G8 1.534895420074463 1.5224504470825195 2.8851945400238037 [0, 17, 8, 23, 6, 16, 4, 0, 33, 1, 32, 0, 38, 39, 9, 40, 34, 0, 5, 13, 31, 36, 0, 2, 29, 30, 0, 22, 11, 15, 21, 27, 7, 0, 18, 25, 19, 0, 35, 37, 10, 12, 3, 0, 14, 20, 28, 24, 26, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 5444494.008567692
G9 1.4939699172973633 1.5040087699890137 2.8872785568237305 [0, 17, 8, 23, 6, 16, 4, 0, 33, 1, 32, 0, 38, 39, 9, 40, 34, 0, 5, 13, 31, 36, 0, 2, 29, 30, 0, 22, 11, 15, 21, 27, 7, 0, 18, 25, 19, 0, 35, 37, 10, 12, 3, 0, 14, 20, 28, 24, 26, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 5444494.008567692
