numero_clientes,maximo_por_tipo,maximo_por_cliente,gen_max,lugar_gen_max,gen_min,lugar_gen_min,gen_prom
10,1,5,1913183.810173667,854,1694782.8476452893,117,1785632.9896233852
10,2,5,1324141.9851613143,706,1112007.5055664722,228,1185445.571701369
10,2,10,3547980.5997689595,117,3326372.339973363,692,3450768.2321065213
10,3,5,1539800.3537080905,497,1357166.0373481554,100,1405303.4405756404
10,3,10,1616554.6702548256,205,1595298.4867611765,181,1602067.949239394
10,3,15,3003010.1930207685,938,2714283.287692771,98,2836600.3711078074
10,4,5,1876750.4222198506,33,1689486.3754332552,55,1785574.0979205163
10,4,10,2391606.3465959313,0,2301831.1522830874,644,2337901.3901769207
10,4,15,2896721.393517612,523,2891359.3000728684,72,2892105.697221657
10,4,20,1684193.2492931513,937,1618441.1295860452,51,1634313.3869425887
10,5,5,1496151.8804331739,593,1346116.9305434495,64,1405248.0304199287
10,5,10,2466406.9388137427,771,2363853.876203549,327,2400787.0199078303
10,5,15,3874289.295908254,131,3780466.2649632706,7,3799812.42903509
10,5,20,4779298.642480523,307,4558455.879793339,2,4567209.926098701
10,5,25,3749339.833225973,325,3740195.894692924,22,3740302.465494276
20,1,5,3337521.3926617512,528,2702301.4985227734,5,3108611.95861138
20,2,5,3452391.9043533606,120,2838684.778350341,265,3211739.861302085
20,2,10,8097466.057450893,412,7208150.612406661,532,7796563.493071021
20,3,5,3889457.7674569725,521,3104371.68618835,5,3646328.452720423
20,3,10,4178693.1969751297,509,3742897.3504403885,124,3993814.3116208687
20,3,15,5599292.425808024,825,4933992.618984313,750,5354973.416550933
20,4,5,4096906.2270983797,418,3598176.6472002957,555,3870078.1297603403
20,4,10,4962011.556574373,906,4614134.337733244,2,4778939.993675773
20,4,15,5849401.158256361,114,5351598.246225287,969,5639810.551654971
20,4,20,4354701.97277616,256,4080269.3561837836,684,4235166.31624899
20,5,5,3228461.1779625844,567,2626150.2340517254,0,2979172.481177847
20,5,10,4924267.385988639,581,4564747.160379817,2,4771889.995079691
20,5,15,7012809.037981736,363,6691790.834277033,942,6899010.812254178
20,5,20,9796907.542717924,590,9119324.483338436,985,9510903.778990265
20,5,25,7540005.528159827,956,7185996.414066194,902,7256057.952315447
30,1,5,4957678.646395541,548,3574182.7465109546,0,4579234.734782529
30,2,5,4999634.151566516,659,3844321.136481116,0,4740558.807062756
30,2,10,12481075.545023033,190,11292317.220289085,67,12014850.59655066
30,3,5,5859302.028434127,24,4588373.211318084,9,5541236.903570614
30,3,10,6665364.024403246,844,5973210.366833285,286,6389319.653912367
30,3,15,7632931.562763345,26,6835115.592391676,0,7314045.303692454
30,4,5,6152221.8505642135,189,4614702.450433595,0,5826081.812174811
30,4,10,7547493.2388438955,177,7044107.64236597,494,7340920.203102929
30,4,15,8356655.229772199,705,7732317.483483413,687,8059563.84372588
30,4,20,6426592.650910376,313,6059355.874446051,115,6252855.825042204
30,5,5,4931287.793125449,820,3804451.7664682507,8,4646566.895956347
30,5,10,7871302.986834773,726,7510683.449301389,469,7679731.531553988
30,5,15,10386344.785010815,847,9777734.66141891,282,10164079.712167982
30,5,20,14783454.540566426,484,13848009.29039206,13,14432817.49403615
30,5,25,13088261.586546915,928,12457489.937770741,368,12837453.13617258
40,1,5,6891925.049758093,764,4974260.091973923,0,6511710.606007044
40,2,5,6565949.954651882,739,4747447.990755989,0,6168146.8490113625
40,2,10,17963811.040754106,666,16589042.42240051,3,17391992.385792818
40,3,5,7590452.018070868,989,6164940.12547467,3,7254230.367438667
40,3,10,9352394.774039773,633,8582427.270653225,555,9054868.30768842
40,3,15,9943254.882839205,482,8652059.631352924,2,9575370.968122354
40,4,5,8104703.095959534,715,5745842.323429524,1,7628112.471508688
40,4,10,9569138.394195188,862,8970666.653994916,75,9328605.440349812
40,4,15,11690480.57184518,458,11096448.569522494,621,11431520.362926736
40,4,20,8817145.242582774,624,8395249.721868118,861,8636680.046488862
40,5,5,6545497.582939787,279,4585129.351718847,0,6124881.472824381
40,5,10,10319677.529967371,221,9583773.336617598,611,10062083.27300626
40,5,15,13895000.790239276,377,13249979.930408563,560,13647436.936962562
40,5,20,19071866.81314455,921,18156205.09622077,652,18698039.226578217
40,5,25,17168368.20038435,771,16500375.251138072,11,16895376.425256807
50,1,5,8964395.497132055,930,6285890.873516483,3,8493621.456449678
50,2,5,8668933.06032398,680,5966115.721465632,6,8201847.790474096
50,2,10,22005737.936832882,401,20569605.788460687,577,21446805.597148538
50,3,5,10077464.813527849,733,7882967.899742942,0,9596519.625336792
50,3,10,12205917.330473691,169,11092802.509926472,4,11834819.888391016
50,3,15,11943102.201929519,315,10556587.084789887,8,11598843.27903399
50,4,5,10113630.723158393,267,6672458.727644133,2,9569741.527979707
50,4,10,11754380.438620934,236,10925745.28825376,0,11477207.402112769
50,4,15,14224030.742483977,736,13440688.271177119,516,13929647.297314983
50,4,20,11546295.059609462,528,11006080.625250867,646,11307939.37952969
50,5,5,8263449.949909657,948,5893559.189047248,0,7820887.537751025
50,5,10,13728695.39595641,268,13082782.455884803,2,13512956.443037191
50,5,15,17193604.162786614,21,16506318.817519618,617,16897644.327057872
50,5,20,24898889.55565422,317,23721684.903853666,995,24514783.474226184
50,5,25,21297838.799099106,871,20700657.04288391,385,21034135.516816508
