n_clientes maximo_por_tipo maximo_por_cliente tiempo_HVRP-FVL
 10 1 5 504.2600967884064
 10 2 5 512.6113948822021
 10 2 10 534.3839018344879
 10 3 5 503.1119532585144
 10 3 10 557.3345596790314
 10 3 15 570.3106961250305
 10 4 5 537.0224182605743
 10 4 10 638.3015432357788
 10 4 15 593.5105164051056
 10 4 20 636.2380197048187
 10 5 5 526.4631168842316
 10 5 10 572.9316074848175
 10 5 15 661.9988312721252
 10 5 20 802.8018550872803
 10 5 25 651.1301209926605
 20 1 5 996.0138075351715
 20 2 5 1078.693503856659
 20 2 10 1218.783010482788
 20 3 5 1055.127891778946
 20 3 10 1292.7086803913116
 20 3 15 1368.0408818721771
 20 4 5 1078.4576473236084
 20 4 10 1367.8470957279205
 20 4 15 1422.3851401805878
 20 4 20 1449.2043187618256
 20 5 5 1093.634442806244
 20 5 10 1348.1089339256287
 20 5 15 1923.0470519065857
 20 5 20 1496.9700088500977
 20 5 25 1491.5388281345367
 30 1 5 1830.6794691085815
 30 2 5 2018.6513600349426
 30 2 10 2228.597455263138
 30 3 5 2019.3109149932861
 30 3 10 2674.950973510742
 30 3 15 3053.5375113487244
 30 4 5 2139.2525894641876
 30 4 10 3001.4027066230774
 30 4 15 3513.634160757065
 30 4 20 3629.8949382305145
 30 5 5 1998.7064034938812
 30 5 10 2765.3120262622833
 30 5 15 3084.730931043625
 30 5 20 4265.298400640488
 30 5 25 3892.4931201934814
 40 1 5 3278.143417596817
 40 2 5 3505.786017894745
 40 2 10 3690.5437576770782
 40 3 5 3252.1023581027985
 40 3 10 3773.7328386306763
 40 3 15 4040.20285654068
 40 4 5 3167.1587109565735
 40 4 10 4072.008071899414
 40 4 15 4642.151443719864
 40 4 20 4798.892917394638
 40 5 5 3152.671270132065
 40 5 10 4478.64187169075
 40 5 15 4631.589484214783
 40 5 20 4911.068112611771
 40 5 25 6647.369318723679
 50 1 5 4289.665489196777
 50 2 5 4652.014741420746
 50 2 10 5182.37997841835
 50 3 5 4710.481986284256
 50 3 10 5899.426591873169
 50 3 15 6090.601831912994
 50 4 5 4636.020566225052
 50 4 10 6388.394864082336
 50 4 15 8195.89777302742
 50 4 20 7415.063355922699
 50 5 5 4733.422256231308
 50 5 10 6612.791518449783
 50 5 15 9381.482414960861
 50 5 20 7162.221346616745
 50 5 25 9893.294856786728
