n_clientes maximo_por_tipo maximo_por_cliente tiempo_HVRP-FVL
 10 1 5 1096.5899784564972
 10 2 5 1069.9863197803497
 10 2 10 1087.6013600826263
 10 3 5 1053.6526005268097
 10 3 10 1178.111214876175
 10 3 15 1219.4182221889496
 10 4 5 1083.9788227081299
 10 4 10 1169.4465599060059
 10 4 15 1361.834662437439
 10 4 20 1346.457757949829
 10 5 5 1096.1876320838928
 10 5 10 1206.485155582428
 10 5 15 1368.903243303299
 10 5 20 1683.7095456123352
 10 5 25 1495.2907073497772
 20 1 5 2146.28679394722
 20 2 5 2267.0608987808228
 20 2 10 2490.1126339435577
 20 3 5 2198.3832705020905
 20 3 10 2779.090018749237
 20 3 15 2737.457226037979
 20 4 5 2307.307332277298
 20 4 10 2871.7256140708923
 20 4 15 3008.2490234375
 20 4 20 3680.0065367221832
 20 5 5 2433.903000831604
 20 5 10 3351.560048341751
 20 5 15 3979.2275347709656
 20 5 20 3752.402943134308
 20 5 25 3603.104012966156
 30 1 5 3857.270177602768
 30 2 5 4085.8085553646088
 30 2 10 4569.290897607803
 30 3 5 4158.004459857941
 30 3 10 5040.6632289886475
 30 3 15 5136.339749336243
 30 4 5 4295.053068637848
 30 4 10 5767.179578065872
 30 4 15 5771.431267738342
 30 4 20 7232.841738939285
 30 5 5 4143.7504596710205
 30 5 10 5956.53341293335
 30 5 15 6743.6043264865875
 30 5 20 6873.2582359313965
 30 5 25 8615.159963846207
 40 1 5 6056.139052867889
 40 2 5 7122.679242610931
 40 2 10 7655.723415851593
 40 3 5 6924.913422584534
 40 3 10 8167.037521839142
 40 3 15 8365.50329208374
 40 4 5 6678.44473361969
 40 4 10 9032.095602750778
 40 4 15 9831.72711610794
 40 4 20 11173.712310791016
 40 5 5 6551.68484044075
 40 5 10 9859.164251327515
 40 5 15 12852.141200065613
 40 5 20 10828.092236995697
 40 5 25 12241.736672878265
 50 1 5 8863.292754411697
 50 2 5 9827.152654886246
 50 2 10 11283.763869524002
 50 3 5 10245.527406215668
 50 3 10 12469.512362957
 50 3 15 12291.03459596634
 50 4 5 10047.62367606163
 50 4 10 13668.489692926407
 50 4 15 16311.260665416718
 50 4 20 16944.79478597641
 50 5 5 9892.037915945053
 50 5 10 14424.009095907211
 50 5 15 22051.08302140236
 50 5 20 18947.70408320427
 50 5 25 21077.625794172287
